label,message
ham,"Hey, are we still meeting tomorrow at 10 AM?"
ham,Can you send me the report when you get a chance?
ham,Happy birthday! Hope you have a wonderful day.
ham,Your appointment is confirmed for Monday at 3 PM.
ham,Please call me when you arrive.
ham,Don't forget to bring the documents.
ham,Are you free for a quick call this afternoon?
ham,Thanks for your help with the project.
ham,I'll be home around 8 tonight.
ham,Can you pick up some milk on your way home?
spam,"Congratulations! You have won $1,000. Click here to claim your prize."
spam,FREE entry! You could win a brand new phone. Text WIN now!
spam,Urgent! Your account has been selected for a cash reward. Claim today.
spam,Get cheap loans with guaranteed approval. Apply now!
spam,You are a lucky winner! Call now to receive your cash prize.
spam,Exclusive offer! Buy now and get 90% OFF. Limited time only.
spam,Claim your FREE gift card by clicking this link.
spam,You have been chosen for a special bonus. Reply YES to receive it.
spam,Win big today! Enter our competition and win cash.
spam,Act now to receive your reward. Offer expires tonight.
